receiver_id,building_id,edge_no,ground_factor,type,grid_id,grid_order,x_epsg5179,y_epsg5179,lat,lon,alt
1,,,1.0000000,terrain,0000_0009,0,1163005.0000000,1732995.0000000,35.5795928,129.2990055,86.5000000
2,,,1.0000000,terrain,0000_0009,0,1163015.0000000,1732995.0000000,35.5795912,129.2991158,86.5000000
3,,,1.0000000,terrain,0000_0009,0,1163025.0000000,1732995.0000000,35.5795895,129.2992261,86.5000000
4,,,1.0000000,terrain,0000_0009,0,1163035.0000000,1732995.0000000,35.5795879,129.2993364,86.5000000
5,,,1.0000000,terrain,0000_0009,0,1163045.0000000,1732995.0000000,35.5795862,129.2994467,86.5000000
6,,,1.0000000,terrain,0000_0009,0,1163055.0000000,1732995.0000000,35.5795846,129.2995570,86.5000000
7,,,1.0000000,terrain,0000_0009,0,1163065.0000000,1732995.0000000,35.5795829,129.2996674,86.5000000
8,,,1.0000000,terrain,0000_0009,0,1163075.0000000,1732995.0000000,35.5795813,129.2997777,86.5000000
9,,,1.0000000,terrain,0000_0009,0,1163085.0000000,1732995.0000000,35.5795796,129.2998880,86.5000000
10,,,1.0000000,terrain,0000_0009,0,1163095.0000000,1732995.0000000,35.5795780,129.2999983,86.6187928
11,,,1.0000000,terrain,0000_0009,0,1163095.0000000,1732985.0000000,35.5794879,129.2999963,86.5469782
12,,,1.0000000,terrain,0000_0009,0,1163085.0000000,1732985.0000000,35.5794895,129.2998860,86.5000000
13,,,1.0000000,terrain,0000_0009,0,1163075.0000000,1732985.0000000,35.5794912,129.2997757,86.5000000
14,,,1.0000000,terrain,0000_0009,0,1163065.0000000,1732985.0000000,35.5794928,129.2996653,86.5000000
15,,,1.0000000,terrain,0000_0009,0,1163055.0000000,1732985.0000000,35.5794945,129.2995550,86.5000000
16,,,1.0000000,terrain,0000_0009,0,1163045.0000000,1732985.0000000,35.5794961,129.2994447,86.5000000
17,,,1.0000000,terrain,0000_0009,0,1163035.0000000,1732985.0000000,35.5794977,129.2993344,86.5000000
18,,,1.0000000,terrain,0000_0009,0,1163025.0000000,1732985.0000000,35.5794994,129.2992241,86.5000000
19,,,1.0000000,terrain,0000_0009,0,1163015.0000000,1732985.0000000,35.5795010,129.2991138,86.5322399
20,,,1.0000000,terrain,0000_0009,0,1163005.0000000,1732985.0000000,35.5795027,129.2990034,86.6858061
21,,,1.0000000,terrain,0000_0009,0,1163005.0000000,1732975.0000000,35.5794126,129.2990014,87.2882893
22,,,1.0000000,terrain,0000_0009,0,1163015.0000000,1732975.0000000,35.5794109,129.2991117,86.9771063
23,,,1.0000000,terrain,0000_0009,0,1163025.0000000,1732975.0000000,35.5794093,129.2992221,86.6748266
24,,,1.0000000,terrain,0000_0009,0,1163035.0000000,1732975.0000000,35.5794076,129.2993324,86.5000000
25,,,1.0000000,terrain,0000_0009,0,1163045.0000000,1732975.0000000,35.5794060,129.2994427,86.5000000
26,,,1.0000000,terrain,0000_0009,0,1163055.0000000,1732975.0000000,35.5794043,129.2995530,86.5000000
27,,,1.0000000,terrain,0000_0009,0,1163065.0000000,1732975.0000000,35.5794027,129.2996633,86.5000000
28,,,1.0000000,terrain,0000_0009,0,1163075.0000000,1732975.0000000,35.5794010,129.2997736,86.5000000
29,,,1.0000000,terrain,0000_0009,0,1163085.0000000,1732975.0000000,35.5793994,129.2998840,86.5000000
30,,,1.0000000,terrain,0000_0009,0,1163095.0000000,1732975.0000000,35.5793977,129.2999943,86.5161856
31,,,1.0000000,terrain,0000_0009,0,1163095.0000000,1732965.0000000,35.5793076,129.2999923,86.8161459
32,,,1.0000000,terrain,0000_0009,0,1163085.0000000,1732965.0000000,35.5793093,129.2998819,86.5000000
33,,,1.0000000,terrain,0000_0009,0,1163075.0000000,1732965.0000000,35.5793109,129.2997716,86.5000000
34,,,1.0000000,terrain,0000_0009,0,1163065.0000000,1732965.0000000,35.5793126,129.2996613,86.5000000
35,,,1.0000000,terrain,0000_0009,0,1163055.0000000,1732965.0000000,35.5793142,129.2995510,86.5000000
36,,,1.0000000,terrain,0000_0009,0,1163045.0000000,1732965.0000000,35.5793159,129.2994407,86.7252016
37,,,1.0000000,terrain,0000_0009,0,1163035.0000000,1732965.0000000,35.5793175,129.2993304,86.9823352
38,BLD01000000G9NCWU,1,,building,0000_0009,0,1163026.6795665,1732960.8707638,35.5792817,129.2992377,88.9499970
39,BLD01000000G9NCWU,1,,building,0000_0009,0,1163026.6795665,1732960.8707638,35.5792817,129.2992377,88.2699970
40,,,1.0000000,terrain,0000_0009,0,1163025.0000000,1732965.0000000,35.5793192,129.2992200,88.3902681
41,,,1.0000000,terrain,0000_0009,0,1163015.0000000,1732965.0000000,35.5793208,129.2991097,88.8817378
42,,,1.0000000,terrain,0000_0009,0,1163005.0000000,1732965.0000000,35.5793224,129.2989994,89.3904647
43,,,1.0000000,terrain,0000_0009,0,1163005.0000000,1732955.0000000,35.5792323,129.2989974,91.6682611
44,,,1.0000000,terrain,0000_0009,0,1163015.0000000,1732955.0000000,35.5792307,129.2991077,91.1452269
45,BLD01000000G9NCWU,4,,building,0000_0009,0,1163024.2403640,1732953.2859142,35.5792137,129.2992093,88.9499970
46,BLD01000000G9NCWU,4,,building,0000_0009,0,1163024.2403640,1732953.2859142,35.5792137,129.2992093,88.2699970
47,BLD01000000G9NCWU,,,roof,0000_0009,0,1163029.4101519,1732955.9810526,35.5792371,129.2992669,89.9499970
48,BLD01000000G9NCWU,3,,building,0000_0009,0,1163032.3069962,1732951.0599884,35.5791923,129.2992978,88.9499970
49,BLD01000000G9NCWU,3,,building,0000_0009,0,1163032.3069962,1732951.0599884,35.5791923,129.2992978,88.2699970
50,BLD01000000G9NCWU,2,,building,0000_0009,0,1163034.4280081,1732958.7846449,35.5792616,129.2993228,88.9499970
