reference,x_epsg5179,y_epsg5179,lat,lon,alt
,1163005.0000000,1732005.0000000,35.5706708,129.2988059,126.4306406
,1163015.0000000,1732005.0000000,35.5706692,129.2989162,126.5000000
,1163025.0000000,1732005.0000000,35.5706675,129.2990265,126.0885300
,1163035.0000000,1732005.0000000,35.5706659,129.2991368,121.4999844
,1163045.0000000,1732005.0000000,35.5706642,129.2992471,116.7057594
,1163055.0000000,1732005.0000000,35.5706626,129.2993574,112.1237871
,1163065.0000000,1732005.0000000,35.5706609,129.2994677,107.8949650
,1163075.0000000,1732005.0000000,35.5706593,129.2995781,105.9400340
,1163085.0000000,1732005.0000000,35.5706576,129.2996884,102.5915381
,1163095.0000000,1732005.0000000,35.5706560,129.2997987,101.6556088
,1163105.0000000,1732005.0000000,35.5706543,129.2999090,101.5658169
,1163115.0000000,1732005.0000000,35.5706527,129.3000193,101.8023783
,1163125.0000000,1732005.0000000,35.5706510,129.3001296,103.7287288
,1163135.0000000,1732005.0000000,35.5706494,129.3002399,106.4838542
,1163145.0000000,1732005.0000000,35.5706477,129.3003502,108.8432466
,1163155.0000000,1732005.0000000,35.5706461,129.3004605,111.0883155
,1163165.0000000,1732005.0000000,35.5706445,129.3005708,111.5072306
,1163175.0000000,1732005.0000000,35.5706428,129.3006811,112.1352641
,1163185.0000000,1732005.0000000,35.5706412,129.3007914,113.9469568
,1163195.0000000,1732005.0000000,35.5706395,129.3009017,115.6420673
,1163205.0000000,1732005.0000000,35.5706379,129.3010120,116.5860567
,1163215.0000000,1732005.0000000,35.5706362,129.3011223,118.6225788
,1163225.0000000,1732005.0000000,35.5706346,129.3012326,120.3531758
,1163235.0000000,1732005.0000000,35.5706329,129.3013429,121.2896800
,1163245.0000000,1732005.0000000,35.5706313,129.3014532,121.5481600
,1163255.0000000,1732005.0000000,35.5706296,129.3015635,122.2130512
,1163265.0000000,1732005.0000000,35.5706280,129.3016738,123.6802659
,1163275.0000000,1732005.0000000,35.5706263,129.3017841,126.2616760
,1163285.0000000,1732005.0000000,35.5706247,129.3018944,128.0356016
,1163295.0000000,1732005.0000000,35.5706230,129.3020047,130.5122915
,1163305.0000000,1732005.0000000,35.5706214,129.3021150,131.4261026
,1163315.0000000,1732005.0000000,35.5706197,129.3022253,130.5858663
,1163325.0000000,1732005.0000000,35.5706181,129.3023357,126.8732915
,1163335.0000000,1732005.0000000,35.5706164,129.3024460,125.1973832
,1163345.0000000,1732005.0000000,35.5706148,129.3025563,121.0455979
,1163355.0000000,1732005.0000000,35.5706131,129.3026666,116.5471183
,1163365.0000000,1732005.0000000,35.5706115,129.3027769,114.2761687
,1163375.0000000,1732005.0000000,35.5706098,129.3028872,111.6567093
,1163385.0000000,1732005.0000000,35.5706082,129.3029975,109.6491914
,1163395.0000000,1732005.0000000,35.5706065,129.3031078,106.8016849
,1163405.0000000,1732005.0000000,35.5706049,129.3032181,106.7010635
,1163415.0000000,1732005.0000000,35.5706032,129.3033284,105.7109022
,1163425.0000000,1732005.0000000,35.5706016,129.3034387,102.6526796
,1163435.0000000,1732005.0000000,35.5705999,129.3035490,100.9581621
,1163445.0000000,1732005.0000000,35.5705983,129.3036593,101.3103229
,1163455.0000000,1732005.0000000,35.5705966,129.3037696,99.5818660
,1163465.0000000,1732005.0000000,35.5705950,129.3038799,100.3647226
,1163475.0000000,1732005.0000000,35.5705933,129.3039902,101.5329625
,1163485.0000000,1732005.0000000,35.5705917,129.3041005,101.7028802
,1163495.0000000,1732005.0000000,35.5705900,129.3042108,102.5883511
,1163505.0000000,1732005.0000000,35.5705884,129.3043211,106.4007246
,1163515.0000000,1732005.0000000,35.5705867,129.3044314,108.8116424
,1163525.0000000,1732005.0000000,35.5705851,129.3045417,111.4335403
,1163535.0000000,1732005.0000000,35.5705834,129.3046520,111.4789563
,1163545.0000000,1732005.0000000,35.5705818,129.3047623,111.4845137
,1163555.0000000,1732005.0000000,35.5705801,129.3048726,111.5426699
,1163565.0000000,1732005.0000000,35.5705784,129.3049829,111.4701259
,1163575.0000000,1732005.0000000,35.5705768,129.3050932,107.8882714
,1163585.0000000,1732005.0000000,35.5705751,129.3052035,106.0633899
,1163595.0000000,1732005.0000000,35.5705735,129.3053139,105.0344334
,1163605.0000000,1732005.0000000,35.5705718,129.3054242,104.6127859
,1163615.0000000,1732005.0000000,35.5705702,129.3055345,106.3714185
,1163625.0000000,1732005.0000000,35.5705685,129.3056448,106.5586793
,1163635.0000000,1732005.0000000,35.5705669,129.3057551,106.8028350
